,id,title,authors,published,summary,generated_summary
0,2407.06496v1,"It's Our Loss: No Privacy Amplification for Hidden State DP-SGD With
  Non-Convex Loss",Meenatchi Sundaram Muthu Selva Annamalai,2024-07-09 01:58:19,"Differentially Private Stochastic Gradient Descent (DP-SGD) is a popular iterative algorithm used to train machine learning models while formally guaranteeing the privacy of users. However the privacy analysis of DP-SGD makes the unrealistic assumption that all intermediate iterates (aka internal state) of the algorithm are released since in practice, only the final trained model, i.e., the final iterate of the algorithm is released. In this hidden state setting, prior work has provided tighter analyses, albeit only when the loss function is constrained, e.g., strongly convex and smooth or linear. On the other hand, the privacy leakage observed empirically from hidden state DP-SGD, even when using non-convex loss functions suggest that there is in fact a gap between the theoretical privacy analysis and the privacy guarantees achieved in practice. Therefore, it remains an open question whether privacy amplification for DP-SGD is possible in the hidden state setting for general loss functions.   Unfortunately, this work answers the aforementioned research question negatively. By carefully constructing a loss function for DP-SGD, we show that for specific loss functions, the final iterate of DP-SGD alone leaks as much information as the sequence of all iterates combined. Furthermore, we empirically verify this result by evaluating the privacy leakage from the final iterate of DP-SGD with our loss function and show that this matches the theoretical upper bound guaranteed by DP exactly. Therefore, we show that the current privacy analysis fo DP-SGD is tight for general loss functions and conclude that no privacy amplification is possible for DP-SGD in general for all (possibly non-convex) loss functions.","Here is a summary of the article in Chinese:

基于机器学习模型的隐私保护 стал笔сит是在 tolerate Differential Privacy Stochastic Gradient Descent（DP-SGD）算法中广泛使用的iterative 算法，但DP-SGD的隐私分析假设给出所有中间迭代（即算法的内部状态）都被释放实际上，在实践中，只有最终训练模型，即算法的最后一Ik 目的是被释放。最近的研究表明，在限制了损失函数的条件下（例如强convex 和smooth 或线性），隐私泄露的分析已有了改进，但是实际中隐藏状态下DP-SGD的隐私泄露却证实了те奥理论隐私分析和实际隐私保障之间存在差距。因此，这个问题是否可以为DP-SGD在一般损失函数下的隐私放大的答案仍然是一个开放的问题。然而，本文回答了这个问题负面的答案。通过精心构造一个损失函数，我们表明DP-SGD的最后一个iterate独自泄露信息的幅度是全部中间iterate的累加和。同时，我们empirically 验证这个结果，通过评估DP-SGD的最后一个iterate下的隐私泄露和理论上确保的上限核实这一个结果。因此，我们表明了DP-SGD在一般损失函数下的隐私分析是紧密的，结论是DP-SGD在一般损失函数下的隐私放大不可能。"
1,2407.06552v1,"DLOVE: A new Security Evaluation Tool for Deep Learning Based
  Watermarking Techniques",Sudev Kumar Padhi; Sk. Subidh Ali,2024-07-09 05:18:14,"Recent developments in Deep Neural Network (DNN) based watermarking techniques have shown remarkable performance. The state-of-the-art DNN-based techniques not only surpass the robustness of classical watermarking techniques but also show their robustness against many image manipulation techniques. In this paper, we performed a detailed security analysis of different DNN-based watermarking techniques. We propose a new class of attack called the Deep Learning-based OVErwriting (DLOVE) attack, which leverages adversarial machine learning and overwrites the original embedded watermark with a targeted watermark in a watermarked image. To the best of our knowledge, this attack is the first of its kind. We have considered scenarios where watermarks are used to devise and formulate an adversarial attack in white box and black box settings. To show adaptability and efficiency, we launch our DLOVE attack analysis on seven different watermarking techniques, HiDDeN, ReDMark, PIMoG, Stegastamp, Aparecium, Distortion Agostic Deep Watermarking and Hiding Images in an Image. All these techniques use different approaches to create imperceptible watermarked images. Our attack analysis on these watermarking techniques with various constraints highlights the vulnerabilities of DNN-based watermarking. Extensive experimental results validate the capabilities of DLOVE. We propose DLOVE as a benchmark security analysis tool to test the robustness of future deep learning-based watermarking techniques.","以下是文章的摘要：

近年来，深度神经网络（DNN）基础水印技术取得了出色的成绩，不仅超越了传统水印技术的鲁棒性，还对很多图像处理技术具有抗性。在这篇论文中，我们conduct a detailed security analysis of various DNN-based watermarking techniques。我们提出了一种新的攻击方法，称为Deep Learning-based OVErwriting（DLOVE）攻击，它结合对抗机器学习和目标化水印将original embedded watermark overwritten in a watermarked image。这是当前唯一的攻击方法。在白盒和黑盒设置中，我们对七种不同水印技术进行了攻击分析，并在实现中展示了DLOVE的可适应性和高效性。我们的结果表明，DNN-based watermarking技术具有漏洞，DLOVE可以被用作未来的深度学习基础水印技术的行业标准安全分析工具。"
2,2407.06648v1,SEBA: Strong Evaluation of Biometric Anonymizations,Julian Todt; Simon Hanisch; Thorsten Strufe,2024-07-09 08:20:03,"Biometric data is pervasively captured and analyzed. Using modern machine learning approaches, identity and attribute inferences attacks have proven high accuracy. Anonymizations aim to mitigate such disclosures by modifying data in a way that prevents identification. However, the effectiveness of some anonymizations is unclear. Therefore, improvements of the corresponding evaluation methodology have been proposed recently. In this paper, we introduce SEBA, a framework for strong evaluation of biometric anonymizations. It combines and implements the state-of-the-art methodology in an easy-to-use and easy-to-expand software framework. This allows anonymization designers to easily test their techniques using a strong evaluation methodology. As part of this discourse, we introduce and discuss new metrics that allow for a more straightforward evaluation of the privacy-utility trade-off that is inherent to anonymization attempts. Finally, we report on a prototypical experiment to demonstrate SEBA's applicability.","文章总结：

本文介绍了一种名为SEBA的强大评估框架，旨在评估生物识别信息匿名化方案的有效性。SEBA框架结合当前的评估方法，提供了一个易于使用和扩展的软件框架，以帮助设计匿名化方案测试自己的方法。同时，文章还引入了一些新的指标，以便更好地评估匿名化尝试中的隐私-utility平衡性Finally，作者报告了一个示例实验，以证明SEBA的可行性。"
3,2407.06751v1,Laser Fault Injection Attacks against Radiation Tolerant TMR Registers,Dmytro Petryk; Zoya Dyka; Ievgen Kabin; Anselm Breitenreiter; Jan Schaeffner; Milos Krstic,2024-07-09 11:03:01,"Security requirements for the Internet of things (IoT), wireless sensor nodes, and other wireless devices connected in a network for data exchange are high. These devices are often subject to lab analysis with the objective to reveal secret hidden information. One kind of attacks to reveal the cryptographic key is to perform optical Fault Injection attacks. In this work, we investigated the IHP radiation tolerant shift registers built of Triple Modular Redundant flip-flops. In our experiments, we were able to inject different transient faults into TMR registers.","本文的摘要是：

IoT、无线传感器节点和其他无线设备在数据交换网络中连接要求高。这些设备通常会面临实验室分析以曝光秘密信息。攻击一种方法是通过光学 Fault Injection 攻擊revealing加密密钥。在本工作中，我们研究了由三重模块冗余器件组成的 IHP radiation tolerant shift registers。在我们的实验中，我们可以注入不同的瞬态故障到 TMR.core"
4,2407.06753v1,"A Comparison of Vulnerability Feature Extraction Methods from Textual
  Attack Patterns",Refat Othman; Bruno Rossi; Russo Barbara,2024-07-09 11:04:49,"Nowadays, threat reports from cybersecurity vendors incorporate detailed descriptions of attacks within unstructured text. Knowing vulnerabilities that are related to these reports helps cybersecurity researchers and practitioners understand and adjust to evolving attacks and develop mitigation plans. This paper aims to aid cybersecurity researchers and practitioners in choosing attack extraction methods to enhance the monitoring and sharing of threat intelligence. In this work, we examine five feature extraction methods (TF-IDF, LSI, BERT, MiniLM, RoBERTa) and find that Term Frequency-Inverse Document Frequency (TF-IDF) outperforms the other four methods with a precision of 75\% and an F1 score of 64\%. The findings offer valuable insights to the cybersecurity community, and our research can aid cybersecurity researchers in evaluating and comparing the effectiveness of upcoming extraction methods.","以下是文章的摘要：

当前，网络安全公司的threat reports包含详细的攻击信息，J通过前瞻性_description_attack_structure文本知道相关vulnerability的存在。Understanding和adjust to演变的攻击，并开发mitigation plans的意识。这篇论文目的是帮助网络安全研究者和实践者选择攻击抽取方法，以提高威胁智能的监控和共享。我们在这项工作中调查了五种功能抽取方法（TF-IDF、LSI、BERT、MiniLM、RoBERTa），发现Term Frequency-Inverse Document Frequency（TF-IDF）以75%的精度和64%的F1分数击败其他四种方法。我们的发现对网络安全社区有价值，我们的研究可以帮助网络安全研究者评估和比较即将到的抽取方法的有效性。"
5,2407.06758v1,"On the Influence of the Laser Illumination on the Logic Cells Current
  Consumption",Dmytro Petryk; Zoya Dyka; Milos Krstic; Jan Bělohoubek; Petr Fišer; František Steiner; Tomáš Blecha; Peter Langendörfer; Ievgen Kabin,2024-07-09 11:08:23,"Physical side-channel attacks represent a great challenge for today's chip design. Although attacks on CMOS dynamic power represent a class of state-of-the-art attacks, many other effects potentially affect the security of CMOS chips analogously by affecting mostly static behaviour of the chip, including aging, ionizing radiation, or non-ionizing illumination of the CMOS. Vulnerabilities exploiting data dependency in CMOS static power were already demonstrated in practice and the analogous vulnerability exploiting light-modulated static power was demonstrated by simulation. This work confirms the CMOS vulnerability related to the light-modulated data-dependent static power experimentally and discusses future work.","以下是文章的摘要：

物理侧-channel攻击当前是超大规模集成电路的设计挑战。这篇文章指出，攻击CMOS动态电力只是当前攻击的一种，而其他许多effects可能会影响CMOS芯片的安全，如CMOS芯片的老化、照明放射或非照明照明。此外，文章还指出，已有证据表明CMOS芯片的数据依赖性攻击该突出该攻击的可能性，且已在通过模拟中证明该攻击。"
6,2407.06759v1,"Cybersecurity Defenses: Exploration of CVE Types through Attack
  Descriptions",Refat Othman; Bruno Rossi; Barbara Russo,2024-07-09 11:08:35,"Vulnerabilities in software security can remain undiscovered even after being exploited. Linking attacks to vulnerabilities helps experts identify and respond promptly to the incident. This paper introduces VULDAT, a classification tool using a sentence transformer MPNET to identify system vulnerabilities from attack descriptions. Our model was applied to 100 attack techniques from the ATT&CK repository and 685 issues from the CVE repository. Then, we compare the performance of VULDAT against the other eight state-of-the-art classifiers based on sentence transformers. Our findings indicate that our model achieves the best performance with F1 score of 0.85, Precision of 0.86, and Recall of 0.83. Furthermore, we found 56% of CVE reports vulnerabilities associated with an attack were identified by VULDAT, and 61% of identified vulnerabilities were in the CVE repository.","以下是文章的摘要：

该论文介绍了一款名为VULDAT的分类工具，这款工具使用(sentence transformer MPNET)来识别攻击描述中隐藏的系统漏洞。论文对VULDAT进行了评估，使用了ATT&CK仓库中的100种攻击技术和CVE仓库中的685个问题，并与8个state-of-the-art分类器进行比较。结果表明，VULDAT的性能最好，F1 score达到0.85，Precision达到0.86，Recall达到0.83。此外，VULDAT还能够识别56%的CVE报告中的漏洞，并且61%的识别漏洞来自CVE仓库。"
7,2407.06760v1,"On the Importance of Reproducibility of Experimental Results Especially
  in the Domain of Security",Dmytro Petryk; Ievgen Kabin; Peter Langendörfer; Zoya Dyka,2024-07-09 11:12:14,"Security especially in the fields of IoT, industrial automation and critical infrastructure is paramount nowadays and a hot research topic. In order to ensure confidence in research results they need to be reproducible. In the past we reported [18] that in many publications important information such as details about the equipment used are missing. In this paper we report on our own experiments that we run to verify the parameters reported in the datasheets that came along with our experimental equipment. Our results show that there are significant discrepancies between the datasheets and the real world data. These deviations concern accuracy of positions, movements, duration of laser shots etc. In order to improve reproducibility of results we therefore argue on the one hand that research groups verify the data given in datasheets of equipment they use and on the other hand that they provide measurement set-up parameters in globally accepted units such as cm, seconds, etc.","本篇文章的摘要是：

在 IoT、工业自动化和关键基础设施等领域安全问题确立虚高的研究课题。在确保研究结果的可靠性方面，回溯性变得非常重要。文章作者在过去报告过，对于许多论文不得不缺少设备细节。在本文中，我们报告了自己关于实验设备datasheet中参数的验证实验结果。结果表明，datasheet和实际世界数据存在较大的偏差，这些偏差涉及到位置准确性、运动时长、激光射频等方面。为了提高结果可靠性，我们提出了两个建议：一是研究团队需要验证使用的设备datasheet中的数据；二是他们需要提供使用测量参数，以自然 Accepted units，如cm、秒等。"
8,2407.06778v1,A BERT-based Empirical Study of Privacy Policies' Compliance with GDPR,Lu Zhang; Nabil Moukafih; Hamad Alamri; Gregory Epiphaniou; Carsten Maple,2024-07-09 11:47:52,"Since its implementation in May 2018, the General Data Protection Regulation (GDPR) has prompted businesses to revisit and revise their data handling practices to ensure compliance. The privacy policy, which serves as the primary means of informing users about their privacy rights and the data practices of companies, has been significantly updated by numerous businesses post-GDPR implementation. However, many privacy policies remain packed with technical jargon, lengthy explanations, and vague descriptions of data practices and user rights. This makes it a challenging task for users and regulatory authorities to manually verify the GDPR compliance of these privacy policies. In this study, we aim to address the challenge of compliance analysis between GDPR (Article 13) and privacy policies for 5G networks. We manually collected privacy policies from almost 70 different 5G MNOs, and we utilized an automated BERT-based model for classification. We show that an encouraging 51$\%$ of companies demonstrate a strong adherence to GDPR. In addition, we present the first study that provides current empirical evidence on the readability of privacy policies for 5G network. we adopted readability analysis toolset that incorporates various established readability metrics. The findings empirically show that the readability of the majority of current privacy policies remains a significant challenge. Hence, 5G providers need to invest considerable effort into revising these documents to enhance both their utility and the overall user experience.","本文总结：

自2018年5月实施该欧洲通用数据保护规则（GDPR）以来，公司开始重新检查和修改数据处理实践以确保符合法规。禁止太多公司重新编写隐私政策，使用户了解他们关于隐私权和公司数据处理的信息。然而，许多隐私政策仍然包含技术术语、详细解释和模糊描述数据处理和用户权利。但是，这使得用户和监管机构非常困难地验证这些隐私政策是否符合GDPR。文章中，我们 manual 70多家5G移动网络运营商隐私政策，并使用基于BERT的自动模型分类。结果表明，51%的公司对GDPR表示 थJunior进一步，我们也首次提供了5G网络当前隐私政策可读性数据，我们使用各种可读性指标工具套件进行分析。结果证明，多数当前隐私政策的可读性仍然是一个大的挑战。因此，5G提供商需要尽毕力地重新编写这些文件以提高其实用性和用户体验。"
9,2407.06838v1,Event Trojan: Asynchronous Event-based Backdoor Attacks,Ruofei Wang; Qing Guo; Haoliang Li; Renjie Wan,2024-07-09 13:15:39,"As asynchronous event data is more frequently engaged in various vision tasks, the risk of backdoor attacks becomes more evident. However, research into the potential risk associated with backdoor attacks in asynchronous event data has been scarce, leaving related tasks vulnerable to potential threats. This paper has uncovered the possibility of directly poisoning event data streams by proposing Event Trojan framework, including two kinds of triggers, i.e., immutable and mutable triggers. Specifically, our two types of event triggers are based on a sequence of simulated event spikes, which can be easily incorporated into any event stream to initiate backdoor attacks. Additionally, for the mutable trigger, we design an adaptive learning mechanism to maximize its aggressiveness. To improve the stealthiness, we introduce a novel loss function that constrains the generated contents of mutable triggers, minimizing the difference between triggers and original events while maintaining effectiveness. Extensive experiments on public event datasets show the effectiveness of the proposed backdoor triggers. We hope that this paper can draw greater attention to the potential threats posed by backdoor attacks on event-based tasks. Our code is available at https://github.com/rfww/EventTrojan.","Here is a summary of the article in Chinese:

隨著異步事件數據在視觉任务中的应用成为了日常先锋，但是關於異步事件數據中的後門攻击风险的研究发掘仍然是相对缺乏的，這使原本可能的任务变得ulnerable對于潜在的威胁。在本文中，我们提出了Event Trojan framework，它可以直接毒害事件數據流，並且提供了两个種類的触发器，即不可变触发器和可变触发器。可变触发器中，我们设计了一個自适应学习機制以最大化其攻擊力。為了提高隐蔽性，我們引入了一個 novel損失函數，该函數 最小化了trigger生成的内容與原始事件之間的差异，同时保持了攻擊力的效果。實驗結果證明了提出的後門触发器的有效性。我們希望這篇文章可以引起更多人的关注，關於異步事件數據中的潜在威胁。"
